"regulatoryGene"	"targetGene"	"weight"	"weightNorm"
"FOXD3"	"AJ012496"	0.0219661287437465	0.392157591988043
"TERF2"	"KCNN4"	0.0219646640091177	0.392131442327735
"NR0B1"	"AK022101"	0.0219645864542941	0.392130057754549
"ZNF354C"	"PPP4R4"	0.0219637268102991	0.392114710675281
"FOXC1"	"PDZD8"	0.0219632153538295	0.392105579729183
"RELB"	"IER3IP1"	0.0219628227844304	0.392098571253906
"TFCP2L1"	"AK027150"	0.0219626769410867	0.392095967537287
"THAP1"	"ENTPD3"	0.0219614985178962	0.392074929346802
"ZNF552"	"PTPN6"	0.0219590247241873	0.392030765124909
"FEZF2"	"PGGT1B"	0.0219589979527115	0.392030287178267
"ZBTB20"	"IDH2"	0.0219586214426031	0.392023565406798
"HEY1"	"ARNT"	0.0219581877968563	0.392015823602412
"ZNF239"	"GAREM2"	0.0219574881793707	0.392003333449429
"FOXF2"	"ASUN"	0.0219567211777479	0.391989640298808
"ZNF200"	"ACAP2"	0.0219559985214424	0.391976738837658
"ZNF24"	"ALPK1"	0.0219558774413308	0.391974577214845
"RELB"	"AK022083"	0.0219556930693377	0.391971285652746
"NKX2-2"	"ASAP1"	0.0219554059985373	0.391966160626159
"ZNF644"	"AK023640"	0.0219551445767542	0.391961493507153
"SOX12"	"TBC1D7"	0.0219541649357226	0.391944004141027
"TULP4"	"ATP6AP1"	0.0219532451974529	0.391927584208807
"CSRNP3"	"AK022639"	0.0219523955113207	0.391912414905584
"TCF7L2"	"NOMO2"	0.0219513535780406	0.391893813446451
"SMAD4"	"LRRC31"	0.021951258877549	0.391892122774546
"ZKSCAN2"	"SLIT2"	0.0219507176314338	0.391882459998929
"MYCN"	"APPL2"	0.0219488270677236	0.391848708083845
"ARNTL"	"FPGS"	0.0219471294214562	0.391818400291332
"HMGB1"	"AL157445"	0.0219465536884825	0.391808121827647
"ZNF618"	"RNASE2"	0.0219457791039507	0.391794293300631
"FOXO3"	"ASCC2"	0.0219435326441793	0.391754187633186
"PITX2"	"PELI1"	0.0219428759325158	0.391742463470608
"ZNF200"	"C1orf123"	0.0219422713787611	0.39173167047438
"NCOA1"	"ANAPC5"	0.0219416649876824	0.391720844676717
"GABPB1"	"VBP1"	0.0219414418073867	0.391716860276536
"YEATS4"	"NOP58"	0.0219383463920906	0.391661598349281
"NR6A1"	"TFF2"	0.0219381663683221	0.391658384415302
"KIAA1549"	"AK026773"	0.0219378139801886	0.391652093289383
"MEF2C"	"KIZ"	0.0219353825254002	0.391608684937098
"CREBZF"	"KCNE3"	0.0219343327661561	0.391589943762349
"NR1D2"	"HDAC8"	0.0219338242392809	0.391580865117807
